price,Комиссия,count_room,built_house,balcony,Наличие мебели,Музеи,Салоны красоты косметических услуг,Рестораны / кафе быстрого питания,Продовольственные магазины,"Городские парки развлечений, аттракционов",Аптеки по продаже лекарств,"Маммологические центры, больницы, клиники, поликлиники","Фитнес-клубы, центры, залы",repair_flat_Дизайнерский,repair_flat_Евроремонт,repair_flat_Косметический,view_outside_Во двор,view_outside_На улицу,view_outside_На улицу и двор,type_house_Блочный,type_house_Кирпичный,type_house_Монолитно кирпичный,type_house_Монолитный,type_house_Панельный,parking_Наземная,parking_Открытая,parking_Подземная,circle_3 Транспортное,circle_Бульварное,circle_В пределах МКАД,circle_За МКАД,circle_Садовое,budget,coef_bern,coef_migrant,coef_people_prirost,coef_children,coef_year_people,coef_plotnost_people,coef_bacalavr_degree,coef_russian_people,coef_green_zone,coef_life_house,coef_happy_house,coef_ecology,square_log,metro_time_log,floor_log,azdist_log,mpa
58000.0,0,0,2018.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,27.0,1.541159071680806,2.302585092994046,7.65579471100404,23608.4625
55000.0,0,1,1971.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,34.699999999999996,2.427454075039915,1.9459101490553128,7.994923139212376,30341.246249999997
80000.0,30,2,2016.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,59.999999999999986,1.791759469228055,1.3862943611198906,7.923633825455742,52463.24999999999
65000.0,50,1,2017.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,37.99999999999999,2.6623552418400807,2.4849066497880004,7.65579471100404,33226.725
65000.0,50,1,2017.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,37.99999999999999,2.427454075039915,2.4849066497880004,7.65579471100404,33226.725
65000.0,40,1,2017.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,39.99999999999998,2.302585092994046,2.4849066497880004,7.65579471100404,34975.499999999985
65000.0,0,0,2018.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,30.000000000000004,2.079441541679836,2.995732273553991,7.65579471100404,26231.625000000004
80000.0,50,1,2017.0,0,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,39.99999999999998,2.4570214462984645,3.49650756146648,7.65579471100404,34975.499999999985
70000.0,70,2,2018.0,0,0.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,45.000000000000014,2.9444389791664403,2.3978952727983707,7.65579471100404,39347.437500000015
65000.0,50,2,2017.0,1,1.0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,27371.272727272728,7.45,11.003333333333336,-0.2,5.946666666666666,39.9,14089.88,53.53,93.72,3.78282290818936,87.0,55.0,38.0,45.000000000000014,2.9444389791664403,2.19722457733622,7.65579471100404,39347.437500000015
